,Unnamed: 0,year,dur_stay,mode,purpose
590,590,2017,4-7  nights,Sea,VFR
591,591,2017,4-7  nights,Tunnel,Holiday
592,592,2017,8-14 nights,Air,Holiday
593,593,2017,8-14 nights,Air,Business
594,594,2017,8-14 nights,Air,VFR
595,595,2017,8-14 nights,Sea,Holiday
596,596,2017,8-14 nights,Tunnel,VFR
597,597,2017,15+  nights,Air,Holiday
598,598,2017,15+  nights,Air,Business
599,599,2017,15+  nights,Air,VFR
600,600,2017,15+  nights,Air,Miscellaneous
601,601,2017,1-3  nights,Air,Business
602,602,2017,1-3  nights,Air,VFR
603,603,2017,1-3  nights,Air,Miscellaneous
604,604,2017,1-3  nights,Sea,Holiday
605,605,2017,1-3  nights,Tunnel,Holiday
606,606,2017,4-7  nights,Air,Holiday
607,607,2017,4-7  nights,Air,Business
608,608,2017,4-7  nights,Air,VFR
609,609,2017,4-7  nights,Sea,Holiday
610,610,2017,8-14 nights,Air,Holiday
611,611,2017,8-14 nights,Air,VFR
612,612,2017,15+  nights,Air,VFR
613,613,2017,15+  nights,Sea,Study
614,614,2017,1-3  nights,Air,Holiday
615,615,2017,1-3  nights,Air,Business
616,616,2017,1-3  nights,Air,VFR
617,617,2017,4-7  nights,Air,Holiday
618,618,2017,4-7  nights,Air,Business
619,619,2017,4-7  nights,Air,VFR
620,620,2017,4-7  nights,Air,Study
621,621,2017,4-7  nights,Air,Miscellaneous
622,622,2017,8-14 nights,Air,Holiday
623,623,2017,8-14 nights,Air,Business
624,624,2017,8-14 nights,Air,VFR
625,625,2017,15+  nights,Air,Holiday
626,626,2017,15+  nights,Air,Business
627,627,2017,15+  nights,Air,VFR
628,628,2017,1-3  nights,Air,Holiday
629,629,2017,1-3  nights,Air,Business
630,630,2017,4-7  nights,Air,Holiday
631,631,2017,4-7  nights,Air,Business
632,632,2017,4-7  nights,Air,VFR
